"Troop            (A, B, C, D...)",Focal Lemur,Species,Sex,Month,Day,Year,Time (H:M:S),Category,"Focal sample note                                                                                                                                                     (please include as much detail as possible.  If a note is about a grooming bout, for example, include stop time in the same cell)"
Furia,Thrax,Pcoq,M,7,6,2022,8:18:42,E Rh,Eating pine needles with right hand. Stop at 8:20:27
Furia,Thrax,Pcoq,M,7,6,2022,8:20:13,BP LF,Walking bipedally with left foot first.
Furia,Thrax,Pcoq,M,7,6,2022,8:27:00,F E Rh,Forage and eat muscovy grapevine with right hand. Stop at 8:28:01
Furia,Thrax,Pcoq,M,7,6,2022,8:28:13,F E Lh,Forage and eat muscovy grapevine with left hand.
Furia,Thrax,Pcoq,M,7,6,2022,8:29:37,F E Lh,Forage and eat muscovy grapevine with left hand.
Furia,Thrax,Pcoq,M,7,6,2022,8:31:00,E F Lh,unknown leaves
Furia,Thrax,Pcoq,M,7,6,2022,8:32:10,E Rh,unknown leaves
Furia,Thrax,Pcoq,M,7,6,2022,8:33:31,BP Lf,stop at 8:33:32
Furia,Thrax,Pcoq,M,7,6,2022,8:33:29,E Lh,unknown leaves through fence. Stop at 8:33:54
Furia,Thrax,Pcoq,M,7,6,2022,8:38:30,G LH,Grasp pole with all 4 limbs. Left hand top.
Furia,Thrax,Pcoq,M,7,6,2022,8:39:36,BP RF,Walk bipedally with right foot in front
N,Rupert,Pcoq,M,7,6,2022,8:49:57,G Rh,"Grasp mesh wall with right hand. 3 limbs, left hand free. Stop at 8:50:23"
N,Rupert,Pcoq,M,7,6,2022,8:50:46,G Lh,"Grasp mesh wall with left hand. 3 limbs, right hand free. Stop at 8:51:18"
N,Rupert,Pcoq,M,7,6,2022,8:52:46,G Rh,Grasp mesh with all 4 limbs. Right hand on top. Stop at 8:52:59
N,Rupert,Pcoq,M,7,6,2022,9:03:30,G Lh,Grasp mesh with all 4 limbs. Left hand on top. Stop at 9:03:53
N,Rupert,Pcoq,M,7,6,2022,9:04:06,G Rh,"Grasp branch with all 4 limbs, right hand top. Stop at 9:04:28"
N,Rupert,Pcoq,M,7,6,2022,9:06:16,G Rh,Grasp branch with 3 limbs (left hand free). Stop at 9:06:28
N,Rupert,Pcoq,M,7,6,2022,9:08:06,G Rh,"Grasp branch with all 4 limbs, right hand on top. Stop at 9:08:17"
N,Rupert,Pcoq,M,7,6,2022,9:13:16,G Rh,"Grasp pole with 3 limbs, left hand free. Stop at 9:13:23"
N,Rupert,Pcoq,M,7,6,2022,9:14:42,E Rh,Eat stick with right hand
N,Rupert,Pcoq,M,7,6,2022,9:14:36,G Lh,Switch stick to being in left hand
N,Rupert,Pcoq,M,7,6,2022,9:15:07,E Rh,Switch stick back to right hand and eat. Stop at 9:15:36
N,Rupert,Pcoq,M,7,6,2022,9:19:16,G Rh,"Grasp branch with all 4 limbs, with right hand on top. Stop at 9:19:20"
N,Rupert,Pcoq,M,7,6,2022,9:29:45,G LF,Grasp side of hole to pass between enclosures with left foot on top. Grasping with 2 limbs (both feet). Stop at 9:30:08
N,Rupert,Pcoq,M,7,6,2022,9:33:30,G Rh,"Grasp branch with all 4 limbs, right hand on top. Stop at 9:33:45"
N,Rupert,Pcoq,M,7,6,2022,9:33:59,E Lh,Eat lettuce with left hand
N,Rupert,Pcoq,M,7,6,2022,9:34:12,E Lh,Eat lettuce with left hand
M,Randy,Lcat,M,7,7,2022,8:27:10,G SM Rh,Grasp pole while scentmarking with right hand on top
M,Randy,Lcat,M,7,7,2022,8:33:08,G Rh,"Grasp stick with right hand and put in mouth, then instantly drop."
M,Randy,Lcat,M,7,7,2022,8:45:49,G Lh Lh,Jump onto mesh wall before climging up with left hand on top
M,Randy,Lcat,M,7,7,2022,8:48:09,CL Rf,Cross legs with right foot on top of left foot. Stop at around 8:54
M,Randy,Lcat,M,7,7,2022,8:59:09,CL Rf,Cross legs with right foot on top of left foot. Stop at around 9:10
Maddie,Maddie,Emon,F,7,8,2022,8:49:27,Lf La,Land on branch left foot first
Maddie,Maddie,Emon,F,7,8,2022,8:50:31,Lf BP,"Walk bipedally, left foot first"
Maddie,Maddie,Emon,F,7,8,2022,8:53:19,Lh La,Land on wire mesh with left hand on top
Maddie,Maddie,Emon,F,7,8,2022,9:01:01,Other R,"Tail curled, tail tip facing right side of body"
Maddie,Maddie,Emon,F,7,8,2022,9:03:54,La Lh,Land on mesh wall with left hand on top
Maddie,Maddie,Emon,F,7,8,2022,9:11:14,Lh G L,Land on mesh wall with left hand on top then climb up
Maddie,Maddie,Emon,F,7,8,2022,9:18:24,Rh La,Land on branch with right hand first
Maddie,Maddie,Emon,F,7,8,2022,9:22:26,Rh R G,Hold onto mesh wall while resting with right hand on top. Holding with both hands and no feet.
Maddie,Maddie,Emon,F,7,8,2022,9:26:50,G Rh R,Grasp branch with right hand (no other limbs) while resting.
Maddie,Maddie,Emon,F,7,8,2022,9:39:11,G Rh R,"While resting, hold onto mesh wall with both hands and right hand on top."
Maddie,Maddie,Emon,F,7,8,2022,9:46:19,Lh H R,"While resting, hold onto mesh wall with left hand and no othe rlimbs"
Maddie,Duggan,Emon,M,7,8,2022,9:15:16,Other L,"Tail curled, tail tip facing left side of body"
Maddie,Duggan,Emon,M,7,8,2022,9:55:07,Other L,"Tail curled, tail tip facing left side of body"
Maddie,Duggan,Emon,M,7,8,2022,10:06:12,E Lh,Eat pineapple (from diet) with left hand
Maddie,Duggan,Emon,M,7,8,2022,10:06:39,E Rh,Eat pineapple (from diet) with right hand
Maddie,Duggan,Emon,M,7,8,2022,10:07:27,E Rh,Eat sweet potato (from diet) with right hand
Maddie,Duggan,Emon,M,7,8,2022,10:07:45,E Lh,Eat sweet potato (from diet) with left hand
Maddie,Duggan,Emon,M,7,8,2022,10:11:10,E Rh,Eat chow from right hand
Maddie,Duggan,Emon,M,7,8,2022,10:12:16,E Rh,Eat chow from right hand
Maddie,Duggan,Emon,M,7,8,2022,10:15:58,E Rh,Eat chow from right hand
Maddie,Duggan,Emon,M,7,8,2022,10:16:31,E Rh,Eat chow from right hand
Maddie,Duggan,Emon,M,7,8,2022,10:20:50,G Lh,"Grasp chow with left hand, then immedately switch to right"
Maddie,Duggan,Emon,M,7,8,2022,10:21:16,E Rh,Eat chow with right hand
Maddie,Duggan,Emon,M,7,8,2022,10:26:36,Other L,"Tail curled, tip facing left side of body"
Maddie,Duggan,Emon,M,7,8,2022,10:28:18,Other R,"Tail curled, tip facing right side of body"
N,Rupert,Pcoq,M,7,12,2022,8:50:20,G Rh R,"Grasp mesh wall with all 4 limbs, right hand on top"
N,Rupert,Pcoq,M,7,12,2022,8:25:59,G Lh R,"Grasp mesh with all 4 limbs, left hand on top"
N,Rupert,Pcoq,M,7,12,2022,8:29:43,G Rh R,Grasp mesh with only right hand while resting
N,Rupert,Pcoq,M,7,12,2022,8:31:47,G Rh R,Grasp door frame with only right hand while resting
N,Rupert,Pcoq,M,7,12,2022,8:33:15,Rh G R,Hold onto branch with right hand while resting
N,Rupert,Pcoq,M,7,12,2022,8:33:39,Lh G,Grasp mesh with left hand
N,Rupert,Pcoq,M,7,12,2022,8:34:16,G Lh L,Grasp branch from above with left hand while locomoting
N,Rupert,Pcoq,M,7,12,2022,8:34:38,R Lh G,Hold onto branch with left hand and both feet
N,Rupert,Pcoq,M,7,12,2022,8:34:15?,G Rh R,"While resting, hold onto branch with all 4 limbs, right hand on top"
N,Rupert,Pcoq,M,7,12,2022,8:39:54,Rh G,"Grasp mesh with all 4 hands, right hand on top"
N,Rupert,Pcoq,M,7,12,2022,8:45:54,G Rh,Grasp branch with right hand. Resting with othre limbs all on another branch.
N,Rupert,Pcoq,M,7,12,2022,8:46:27,G Lh R,Grasp mesh with all 4 limbs. Left hand on top.
N,Rupert,Pcoq,M,7,12,2022,8:47:07,G Lh R,Grasp branch with all 4 limbs while resting. Left hand on top.
N,Rupert,Pcoq,M,7,12,2022,8:47:36,G Rh R,Grasp onto wall with all 4 limbs. Left hand on top. Resting.
N,Rupert,Pcoq,M,7,12,2022,8:47:54,G Lh R,Grasp wall with 4 limbs (no right hand). Left hand is on top. Resting.
N,Rupert,Pcoq,M,7,12,2022,8:48:17,G Lh R,"While resting, grab branch with left hand."
N,Rupert,Pcoq,M,7,12,2022,8:48:35,G Rh R,Grasp mesh with right hand and both feet while resting.
N,Rupert,Pcoq,M,7,12,2022,8:50:59,R G Lh,"While resting, grab mesh with just left hand"
N,Rupert,Pcoq,M,7,12,2022,8:51:27,G Lh L,"Grasp branch with all 4 limbs. Left hand on top. Climbing down, with left hand on top the whole time."
N,Rupert,Pcoq,M,7,12,2022,8:53:08,G Rh R,Resting while holding onto mesh with all 4 limbs. Right hand on top.
N,Rupert,Pcoq,M,7,12,2022,8:55:04,Lh G,Grasp onto pole with all 4 limbs. Left hand on top.
N,Rupert,Pcoq,M,7,12,2022,8:55:14,Rh G,Grasp onto pole with all 4 limbs. Right hand on top.
N,Rupert,Pcoq,M,7,12,2022,8:55:55,Rh G R,"While resting, grasp onto mesh wall with just right hand."
N,Rupert,Pcoq,M,7,12,2022,8:56:29,Lh G R,"While resting, grasp onto mesh with just left hand."
N,Rupert,Pcoq,M,7,12,2022,9:00:16,E Lh,Eat lettuce from diet with left hand
N,Rupert,Pcoq,M,7,12,2022,9:00:42,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:01:01,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:01:14,E Lh,Eat chow from left hand
N,Rupert,Pcoq,M,7,12,2022,9:01:27,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:01:46,E Rh,Eat carrot from diet with right hand
N,Rupert,Pcoq,M,7,12,2022,9:03:22,L Lh G,Leap to pole and grasp with all 4 limbs. Right hand on top.
N,Rupert,Pcoq,M,7,12,2022,9:03:24,E Lh,Eat lettuce from diet with left hand
N,Rupert,Pcoq,M,7,12,2022,9:03:50,E Rh,Eat carrot from diet with right hand
N,Rupert,Pcoq,M,7,12,2022,9:05:02,G Lh,Grasp onto mesh with 3 limbs (no right hand). Left hand on top.
N,Rupert,Pcoq,M,7,12,2022,9:05:47,E Lh,Eat cucumber from diet with left hand
N,Rupert,Pcoq,M,7,12,2022,9:09:13,E Rh,"Eat kale from diet with right hand. WHile doing so, grasp onto mesh wall with left hand."
N,Rupert,Pcoq,M,7,12,2022,9:10:15,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:12:05,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:13:19,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:15:53,G Rh R,Grasp onto mesh with 3 limbs (no left hand). Right hand on top. Resting.
N,Rupert,Pcoq,M,7,12,2022,9:18:29,E Lh,Eat chow from left hand
N,Rupert,Pcoq,M,7,12,2022,9:18:50,E Rh,Eat carrot from diet with right hand
N,Rupert,Pcoq,M,7,12,2022,9:21:34,E Rh,Eat broccoli from diet with right had
N,Rupert,Pcoq,M,7,12,2022,9:22:39,E Lh,Eat kale from diet with left hand
N,Rupert,Pcoq,M,7,12,2022,9:27:09,G Lh,Grasp onto branch with just left hand. Feet are resting on a lower branch.
N,Rupert,Pcoq,M,7,12,2022,9:29:19,G Rh,Grasp onto branch with just right hand. Feet are resting on a lower branch.
N,Rupert,Pcoq,M,7,12,2022,9:29:21,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,9:37:16,G Rh,Grasp branch with just right hand. Feet are resting on a lower branch.
N,Rupert,Pcoq,M,7,12,2022,9:37:38,G Lh,Grasp branch with just left hand. Feet are resting on a lower branch.
N,Rupert,Pcoq,M,7,12,2022,9:41:17,E Rh,Eat stick from right hand.
N,Rupert,Pcoq,M,7,12,2022,9:46:02,E Rh,Eat chow from right hand
N,Rupert,Pcoq,M,7,12,2022,10:11:13,G Lh,Grasp onto mesh with 3 limbs (no right hand). Left hand on top.
N,Gisela,Pcoq,M,7,13,2022,7:58:15,G Rh R,Grasp mesh with just right hand while resting
N,Gisela,Pcoq,M,7,13,2022,7:59:19,E Rh,Eat leaf with right hand
N,Gisela,Pcoq,M,7,13,2022,8:00:40,G Lh R,Grasp mesh with left hand resting
N,Gisela,Pcoq,M,7,13,2022,8:01:01,RH G,Grasp mesh with 4 limbs while resting. Right hand on top.
N,Gisela,Pcoq,M,7,13,2022,8:02:44,G Lh R,Grasp mesh with just left hand while resting and sitting on the floor. Stop at 8:03:09
N,Gisela,Pcoq,M,7,13,2022,8:04:11,G Lh R,"While resting, grasp mesh with 3 limbs (no right hand). Left hand on top. Stop at 8:04:42."
N,Gisela,Pcoq,M,7,13,2022,8:05:09,E Lh,Eat chow with left hand
N,Gisela,Pcoq,M,7,13,2022,8:06:02,E Rh,"Eat leaf with right hand. At same time, grasp pole with left hand and both feet. Stop at 8:06:35"
N,Gisela,Pcoq,M,7,13,2022,8:07:11,G Rh,Grasp mesh with 3 limbs (no left hand). Right hand on top.
N,Gisela,Pcoq,M,7,13,2022,8:09:58,G Rh,Grasp pole with just right hand while sitting on platform.
N,Gisela,Pcoq,M,7,13,2022,8:10:54,G Lh R,Grasp mesh with just left hand while sitting and resting.
N,Gisela,Pcoq,M,7,13,2022,8:17:11,E Rh,Eat chow with right hand
N,Gisela,Pcoq,M,7,13,2022,8:17:46,G Lh,Grasp pole with 3 limbs (no right hand) left hand on top.
N,Gisela,Pcoq,M,7,13,2022,8:17:47,E Rh,Eat leaf from right hand
N,Gisela,Pcoq,M,7,13,2022,8:18:56,G Lh,"Grasp structure with all 4 limbs, right hand on top"
N,Gisela,Pcoq,M,7,13,2022,8:19:46,L Lh G,"Climb up pole. Holding pole with all 4 limbs, but left hand on top the whole time."
N,Gisela,Pcoq,M,7,13,2022,8:28:18,G Lh,"Grasp onto pole with all 4 limbs, left hand on top. Stop at 8:24:29"
N,Gisela,Pcoq,M,7,13,2022,8:32:44,G Lh,Grasp structure with 3 limbs (no right hand) left hand on top. Stop at 8:38:00
N,Gisela,Pcoq,M,7,13,2022,8:39:00,Ho Rh Li,Hold and lick piece of cardboard with right hand
N,Gisela,Pcoq,M,7,13,2022,8:44:00,G Rh L,"While moving, grasp onto mesh wall with all 4 limbs. Right hand on top. Stop at 8:44:12"
N,Gisela,Pcoq,M,7,13,2022,8:47:53,E Rh,Eat peanut with right hand (given by care tech so Silas can be taken for vet appointment)
N,Gisela,Pcoq,M,7,13,2022,9:04:32,G Lh,"Grasp branch with all 4 limbs, left hand on top"
N,Gisela,Pcoq,M,7,13,2022,9:04:50,G Rh,"Grasp branch with all 4 limbs, right hand on top. Stop at 9:05:11"
N,Gisela,Pcoq,M,7,13,2022,9:08:14,G Rh,Grasp mesh with 3 limbs (no left hand) right hand on top. Stop at 9:08:27
N,Gisela,Pcoq,M,7,13,2022,9:11:06,G Rh,"Grasp mesh with all 4 limbs, right hand on top"
N,Gisela,Pcoq,M,7,13,2022,9:43:17,G Lh,Pick up cardboard with left hand.
N,Gisela,Pcoq,M,7,14,2022,9:23:08,G Rh L,Grasp branch above with right hand
N,Gisela,Pcoq,M,7,14,2022,9:24:40,BP Rf,Walk bipedally with right foot in front
N,Gisela,Pcoq,M,7,14,2022,9:25:50,Other Rh,Reach for hand in mouth in right hand (did not actually grasp)
N,Gisela,Pcoq,M,7,14,2022,9:27:47,G Rh,Grasp mesh wall with right hand.
N,Gisela,Pcoq,M,7,14,2022,9:29:33,SG Rh,Sniff and lick right hand
N,Gisela,Pcoq,M,7,14,2022,9:29:50,BP LF,Walk bipedally with left foot in front
N,Gisela,Pcoq,M,7,14,2022,9:30:40,BP LF,Walk bipedally with left foot in front
N,Gisela,Pcoq,M,7,14,2022,9:30:53,E Lh,Eat chow from left hand
N,Gisela,Pcoq,M,7,14,2022,9:31:04,E Rh,Eat chow from right hand
N,Gisela,Pcoq,M,7,14,2022,9:31:18,E Rh,Eat chow from right hand
N,Gisela,Pcoq,M,7,14,2022,9:31:28,Lh G L,Grasp mesh with all 4 limbs while locomoting. Left hand on top.
N,Gisela,Pcoq,M,7,14,2022,9:23:21,BP LF,"Walk on 2 legs, left foot front"
N,Gisela,Pcoq,M,7,14,2022,9:33:33,G Rh,Grasp onto mesh with right hand
N,Gisela,Pcoq,M,7,14,2022,9:34:48,G Rh,Grasp onto mesh with right hand
N,Gisela,Pcoq,M,7,14,2022,9:35:08,G Lh,Grasp onto mesh wall with left hand
N,Gisela,Pcoq,M,7,14,2022,9:36:22,G Lh Lf R,"While resting, grasp onto mesh wall with left hand and left foot"
N,Gisela,Pcoq,M,7,14,2022,9:37:03,G Rh R,"While resting, grasp onto beanch with right hand. Stop at 9:37:09"
N,Gisela,Pcoq,M,7,14,2022,9:49:29,LH L G,"Leap and grasp pole with all 4 limbs, left hand top"
N,Gisela,Pcoq,M,7,14,2022,9:49:58,G Lh R,"While resting, hold onto mesh wall with left hand and left foot. Stop at 9:50:18"
N,Gisela,Pcoq,M,7,14,2022,9:50:45,L Lh G,Leap to pole and grasp with all 4 limbs. Left hand on top.
N,Gisela,Pcoq,M,7,14,2022,9:52:42,G Rh R,Grasp onto mesh wall with 3 limbs (no left hand) while resting.
N,Gisela,Pcoq,M,7,14,2022,9:56:21,G Lh,Grasp onto mesh wall with just left hand
N,Gisela,Pcoq,M,7,14,2022,9:57:15,G Lh,Grasp onto mesh wall with just left hand
N,Gisela,Pcoq,M,7,14,2022,9:58:14,G Rh,Grasp onto mesh wall with 3 limbs (no left hand) while resting.
N,Gisela,Pcoq,M,7,14,2022,10:02:39,G Rh,Grasp onto mesh wall with 3 limbs (no left hand) while resting.
N,Gisela,Pcoq,M,7,14,2022,10:03:34,G Rh,Grasp onto mesh wall with 3 limbs (no left hand) while resting.
N,Gisela,Pcoq,M,7,14,2022,10:03:40,G R,Grasp onto mesh while resting. Hold with all 4 limbs.
N,Gisela,Pcoq,M,7,14,2022,10:04:05,G Lh R,"While resting, hold onto mesh wall with 3 limbs (no right hand). Stop at 10:04:12"
N,Gisela,Pcoq,M,7,14,2022,10:05:50,G Rh,"Grasp mesh wall with all 4 limbs, right hand on top"
N,Gisela,Pcoq,M,7,14,2022,10:06:19,G Lh,Grasp onto mesh with 3 limbs (no right hand). Stop at 10:06:50
N,Gisela,Pcoq,M,7,14,2022,10:10:10,G Lh R,Grasp onto branch with just left hand while resting.
